SetID,ParticleID,StripeID,StripeSubID,Seconds,Fluo,AP,x,y
2,142,1,0,324.72,0,0.32497,300,115
2,142,1,0,347.22,38107,0.32597,297.14,113.62
2,142,1,0,369.72,92098,0.32697,294.27,112.23
2,142,1,0,392.22,1.1158e+05,0.32797,291.41,110.85
2,142,1,0,414.72,1.9361e+05,0.32897,288.54,109.47
2,142,1,0,437.22,2.1714e+05,0.32997,285.68,108.09
2,142,1,0,459.72,2.9967e+05,0.33097,282.82,106.7
2,142,1,0,482.22,2.9108e+05,0.33197,279.95,105.32
2,142,1,0,504.72,3.1836e+05,0.33297,277.09,103.94
2,142,1,0,527.22,2.9125e+05,0.33397,274.22,102.56
2,142,1,0,549.72,3.124e+05,0.33497,271.36,101.17
2,142,1,0,572.22,3.0665e+05,0.33512,271,101.5
2,142,1,0,594.72,2.3429e+05,0.33464,272.24,101.24
2,142,1,0,617.22,2.1484e+05,0.33457,272.45,101.45
2,142,1,0,639.72,2.3736e+05,0.33414,273.65,101.65
2,142,1,0,662.22,1.9224e+05,0.33412,273.86,103
2,142,1,0,684.72,2.1741e+05,0.33338,276,104
2,142,1,0,707.22,1.9968e+05,0.33264,278,104.15
2,142,1,0,729.72,2.1293e+05,0.33281,277.43,103.28
2,142,1,0,752.22,2.0654e+05,0.33239,278.76,104.76
2,142,1,0,774.72,2.2082e+05,0.33081,282.87,104
2,142,1,0,797.22,1.9123e+05,0.33034,284.28,105
2,142,1,0,819.72,1.9062e+05,0.33232,278.8,103.8
2,142,1,0,842.22,1.8555e+05,0.33178,280.22,103.61
2,142,1,0,864.72,1.6561e+05,0.33153,281,104.37
2,142,1,0,887.22,1.4557e+05,0.3312,282.1,106
2,142,1,0,909.72,1.4881e+05,0.32996,285.69,108
2,142,1,0,932.22,1.9668e+05,0.32878,289,109.13
2,142,1,0,954.72,1.6046e+05,0.32868,288.64,104.36
2,142,1,0,977.22,82683,0.32826,289.98,105.96
2,142,1,0,999.72,49231,0.33017,285.24,108.76
2,142,1,0,1022.2,46544,0.32902,288.67,111.33
2,142,1,0,1044.7,75510,0.32898,289,113
2,142,1,0,1067.2,71749,0.32933,288.24,114.51
2,142,1,0,1089.7,48407,0.3286,290,113
2,142,1,0,1112.2,73142,0.32894,289,112.18
2,142,1,0,1134.7,1.2402e+05,0.32897,289,112.77
2,142,1,0,1157.2,1.3555e+05,0.32867,290,114.41
2,142,1,0,1179.7,1.6943e+05,0.32894,289.06,112.74
2,142,1,0,1202.2,1.5851e+05,0.32781,292,112
2,142,1,0,1224.7,1.6433e+05,0.32903,289,114
2,142,1,0,1247.2,1.2031e+05,0.33007,286,112.42
2,142,1,0,1269.7,89976,0.32991,286.62,114
2,142,1,0,1292.2,49298,0.32983,286.83,113.83
2,143,1,1,358.58,36961,0.35768,215.68,140
2,143,1,1,381.08,53007,0.35782,215.29,140
2,143,1,1,403.58,80454,0.35834,214,140.64
2,143,1,1,426.08,62664,0.35823,214,138.56
2,143,1,1,448.58,66662,0.35804,214.88,141.21
2,143,1,1,471.08,84858,0.35776,215.99,143.97
2,143,1,1,493.58,73275,0.35755,216.39,142.81
2,143,1,1,516.08,50826,0.35702,218,144.22
2,143,1,1,538.58,12350,0.35703,218.25,146.17
2,143,1,1,561.08,0,0.35674,219.08,146.72
2,143,1,1,583.58,0,0.35646,219.92,147.28
2,143,1,1,606.08,0,0.35618,220.75,147.83
2,143,1,1,628.58,0,0.3559,221.58,148.39
2,143,1,1,651.08,0,0.35561,222.41,148.94
2,143,1,1,673.58,0,0.35533,223.24,149.5
2,143,1,1,696.08,0,0.35505,224.08,150.05
2,143,1,1,718.58,0,0.35477,224.91,150.61
2,143,1,1,741.08,0,0.35448,225.74,151.16
2,143,1,1,763.58,23179,0.3542,226.57,151.72
2,143,1,1,786.08,69945,0.3541,227.02,153.02
2,143,1,1,808.58,60198,0.35367,228.34,154.34
2,143,1,1,831.08,50451,0.35324,229.67,155.67
