SetID,ParticleID,StripeID,StripeSubID,Seconds,Fluo,StripeCenter,AP,x,y
3,41,5,1,366.72,50309,0.6316,0.6585,201,237
3,41,5,1,397.27,62882,0.6316,0.65603,208,240
3,41,5,1,431.91,54576,0.6316,0.65598,208,237
3,41,5,1,442.04,45955,0.6316,0.65565,209,239
3,41,5,1,482.76,51259,0.6316,0.65634,207,237
3,41,5,1,543.7,55310,0.6316,0.6568,206,243
3,41,5,1,586.82,68692,0.6316,0.65616,208,248
3,41,5,1,597.17,50129,0.6316,0.65651,207,247
3,41,5,1,688.81,95907,0.6316,0.65829,202,246
3,41,5,1,699.03,84251,0.6316,0.65903,200,247
3,41,5,1,709.24,65611,0.6316,0.66013,197,248
3,41,5,1,719.43,94180,0.6316,0.65939,199,247
3,41,5,1,739.93,59452,0.6316,0.65902,200,246
3,41,5,1,750.67,81826,0.6316,0.65975,198,247
3,41,5,1,760.86,49409,0.6316,0.66046,196,246
3,41,5,1,811.9,69598,0.6316,0.66259,190,244
3,42,5,1,397.27,70579,0.6316,0.65647,204,180
3,42,5,1,407.42,76464,0.6316,0.65687,203,182
3,42,5,1,417.61,67703,0.6316,0.65577,206,181
3,42,5,1,431.91,94330,0.6316,0.65683,203,180
3,42,5,1,442.04,96553,0.6316,0.65613,205,181
3,42,5,1,452.19,95355,0.6316,0.65687,203,182
3,42,5,1,462.34,64850,0.6316,0.65616,205,183
3,42,5,1,472.54,93967,0.6316,0.65616,205,183
3,42,5,1,482.76,1.33e+05,0.6316,0.65726,202,184
3,42,5,1,492.9,99823,0.6316,0.65621,205,186
3,42,5,1,503.08,1.1297e+05,0.6316,0.65693,203,186
3,42,5,1,513.26,91314,0.6316,0.65692,203,185
3,42,5,1,523.44,62912,0.6316,0.65728,202,185
3,42,5,1,533.57,65953,0.6316,0.65693,203,186
3,42,5,1,543.7,34061,0.6316,0.65623,205,187
3,42,5,1,648.18,28537,0.6316,0.66015,194,184
3,42,5,1,739.93,55413,0.6316,0.66154,190,181
3,42,5,1,1613,42315,0.6316,0.66635,176,166
3,42,5,1,1643.6,56483,0.6316,0.66748,173,169
3,42,5,1,1653.7,48520,0.6316,0.66677,175,170
3,42,5,1,1663.9,41617,0.6316,0.66891,169,168
3,42,5,1,1674,46229,0.6316,0.66748,173,169
3,42,5,1,1704.6,33997,0.6316,0.6671,174,168
3,42,5,1,1785.9,59079,0.6316,0.66772,172,162
3,42,5,1,1796.1,30809,0.6316,0.66882,169,163
3,42,5,1,1806.3,39425,0.6316,0.66809,171,162
3,42,5,1,1835.7,44921,0.6316,0.66841,170,160
3,42,5,1,1845.8,46593,0.6316,0.66953,167,162
3,42,5,1,1856,60119,0.6316,0.6692,168,164
3,42,5,1,1866.2,62209,0.6316,0.66777,172,165
3,42,5,1,1876.4,46880,0.6316,0.66843,170,161
3,42,5,1,1907,47364,0.6316,0.66767,172,159
3,42,5,1,2240.7,52345,0.6316,0.66715,173,149
3,42,5,1,2261.1,48021,0.6316,0.66718,173,151
3,43,5,0,417.61,78445,0.6316,0.6258,288,159
3,43,5,0,431.91,1.0801e+05,0.6316,0.62614,287,158
3,43,5,0,442.04,93161,0.6316,0.62581,288,160
3,43,5,0,452.19,1.0598e+05,0.6316,0.62613,287,157
3,43,5,0,462.34,85802,0.6316,0.62576,288,157
3,43,5,0,472.54,1.1197e+05,0.6316,0.62614,287,158
3,43,5,0,482.76,86559,0.6316,0.62649,286,157
3,43,5,0,492.9,1.0489e+05,0.6316,0.62647,286,156
3,43,5,0,503.08,83554,0.6316,0.62719,284,156
3,43,5,0,513.26,71736,0.6316,0.62754,283,155
3,43,5,0,523.44,50482,0.6316,0.62719,284,156
3,43,5,0,543.7,86563,0.6316,0.62716,284,154
3,43,5,0,1613,46655,0.6316,0.63492,262,143
3,43,5,0,1623.1,46167,0.6316,0.63529,261,144
3,43,5,0,1633.3,70351,0.6316,0.63457,263,144
3,43,5,0,1643.6,82086,0.6316,0.6349,262,142
3,43,5,0,1653.7,73920,0.6316,0.63566,260,144
3,43,5,0,1663.9,73789,0.6316,0.63676,257,145
3,43,5,0,1674,65630,0.6316,0.63634,258,142
3,43,5,0,1684.2,54502,0.6316,0.63634,258,142
3,43,5,0,1694.4,87382,0.6316,0.63667,257,140
3,43,5,0,1704.6,73279,0.6316,0.63702,256,139
3,43,5,0,1714.8,80733,0.6316,0.63739,255,140
3,43,5,0,1725,66505,0.6316,0.63734,255,137
3,43,5,0,1735.1,37139,0.6316,0.63664,257,138
3,43,5,0,1745.3,43377,0.6316,0.63661,257,136
3,43,5,0,1755.5,39363,0.6316,0.63771,254,137
3,43,5,0,1856,59023,0.6316,0.63693,256,134
3,43,5,0,1866.2,68816,0.6316,0.63657,257,134
3,43,5,0,1876.4,97288,0.6316,0.6369,256,132
3,43,5,0,1886.6,93802,0.6316,0.63685,256,129
3,43,5,0,1896.8,80396,0.6316,0.6369,256,132
3,43,5,0,1907,1.1462e+05,0.6316,0.63764,254,133
3,43,5,0,1917.2,89106,0.6316,0.63652,257,131
3,43,5,0,1927.3,1.0026e+05,0.6316,0.63654,257,132
3,43,5,0,1937.6,91804,0.6316,0.63656,257,133
3,43,5,0,1947.7,90660,0.6316,0.63649,257,129
3,43,5,0,1957.9,59246,0.6316,0.63614,258,130
3,43,5,0,1968.1,47127,0.6316,0.63726,255,132
3,43,5,0,1978.2,66474,0.6316,0.63685,256,129
