stripe_id,seconds,r_on_mean,r_on_ste,k_on_mean,k_on_ste,k_off_mean,k_off_ste
1,600,3525.09763,141.942703,1.00274774,0.105427576,2.25232088,0.270797033
1,900,3387.02831,224.705273,1.18350046,0.0901761061,2.46892726,0.290455864
1,1200,3389.52538,183.40784,1.2862263,0.132804204,2.41635224,0.375333912
1,1500,3120.77219,73.6188387,1.51696571,0.182799399,2.1480493,0.253399055
1,1800,3099.03949,62.4260706,2.15312484,0.278937697,2.49464103,0.307121123
1,2100,3024.98295,200.014993,2.27565258,0.342122229,2.55026508,0.509010233
1,2400,2794.63391,167.450193,2.01576735,0.269141072,2.41360611,0.468287114
1,2700,2897.04577,319.983249,1.89230986,0.296159625,2.88064096,0.844695016
2,600,3111.49119,237.142503,0.789304476,0.136345042,2.72218961,0.457899303
2,900,2939.70325,291.26995,0.933283614,0.117777723,3.12087493,0.523332016
2,1200,2723.89945,418.598268,0.935094281,0.106750356,3.29237056,0.653772894
2,1500,2242.08375,112.328927,1.08717219,0.150190948,2.67858861,0.402346238
2,1800,2281.20691,243.884405,1.36928487,0.198344997,3.12646501,0.879843782
2,2100,2408.28005,178.490477,1.48319089,0.195805771,3.20756712,0.479051401
2,2400,2225.62035,141.204276,1.30545421,0.154243049,2.483693,0.428577038
2,2700,2392.73708,127.416522,1.43362182,0.12148344,2.51601276,0.303578298
3,600,2418.24701,37.6848556,0.607964032,0.0597638284,2.46148702,0.140134022
3,900,2385.14997,164.220306,0.718351859,0.0857838555,2.60742619,0.28945651
3,1200,2454.61706,141.845301,0.719339691,0.0823350595,2.1400604,0.134541059
3,1500,2621.89294,255.408995,0.904619544,0.0788888984,2.2506982,0.459716249
3,1800,2790.83899,244.754247,1.16834363,0.112395459,2.34225091,0.431645033
3,2100,2700.7255,187.742079,1.39701766,0.231759816,2.33999927,0.541762577
3,2400,2598.29645,168.636944,1.2619862,0.156681876,2.13536449,0.275605956
3,2700,2605.57597,141.03447,1.16799131,0.148759894,1.96844782,0.193511335
4,600,2104.80991,78.6438024,0.889089881,0.149821491,2.69500162,0.28805525
4,900,2229.20409,89.6630579,0.900982833,0.0979700148,2.70329162,0.26391336
4,1200,2231.53104,124.621576,0.873917897,0.126053248,2.26879637,0.233587516
4,1500,2427.10076,182.314782,0.962099795,0.0878979225,2.17752664,0.18390874
4,1800,3024.22361,333.949444,1.32071051,0.228736325,3.25651078,0.986428751
4,2100,2904.31174,375.839395,1.39719667,0.204785303,2.98303055,0.684378073
4,2400,2728.18724,119.468154,1.61189576,0.252071818,3.04924298,0.49292449
4,2700,2555.26219,172.373413,1.72903847,0.257643313,2.97868653,0.429370152
5,600,2541.89298,32.7455915,0.706605758,0.0442555371,2.65758309,0.177606358
5,900,2326.20836,167.472958,0.667259294,0.071691061,2.70258053,0.394182981
5,1200,2338.5221,161.855206,0.640838443,0.0690130582,2.91437745,0.306120649
5,1500,2363.14453,156.326025,0.534156086,0.0734833623,2.55296459,0.329724037
5,1800,2464.93316,190.069691,0.769430386,0.0651726268,2.47484227,0.354345979
5,2100,2622.29199,244.228209,1.02203305,0.172572896,2.8040242,0.490956605
5,2400,2685.04876,177.442841,1.29906638,0.179203688,3.05697353,0.262424596
5,2700,2552.02517,275.758235,1.4624084,0.197853147,3.10680499,0.814089258
6,600,2679.25249,246.956617,0.905129655,0.109163603,3.06628147,0.204571604
6,900,2490.10292,198.578372,0.922463062,0.106194546,2.98045401,0.272717095
6,1200,2415.60537,159.590636,0.781935598,0.128398585,3.09901108,0.709274304
6,1500,2261.37728,152.515173,0.85571213,0.107022846,2.92348826,0.43420795
6,1800,2135.77205,122.718156,1.02651646,0.130141296,2.70989546,0.350867271
6,2100,2359.55755,60.3559948,1.41310489,0.16295784,3.13631485,0.376762135
6,2400,2369.84522,302.781301,1.8444977,0.44614462,3.79513564,1.40451327
6,2700,2509.75208,192.95867,2.10277666,0.563009809,4.16819378,1.33317124
7,600,NaN,NaN,NaN,NaN,NaN,NaN
7,900,2529.97656,197.791125,0.685766561,0.123181977,2.50711956,0.422039956
7,1200,2423.95981,198.141035,1.05950396,0.202146607,2.47424508,0.496180659
7,1500,2566.72521,201.661983,1.06491749,0.157416809,2.33033842,0.422770156
7,1800,2736.32756,146.600562,1.41914759,0.243489431,2.39054239,0.468492342
7,2100,2685.48753,154.240253,1.64963433,0.260932113,2.29608055,0.545485148
7,2400,2758.83637,125.26626,1.60631106,0.260400802,2.27400338,0.341392673
7,2700,2493.70263,137.848353,1.92268829,0.375582509,2.45955349,0.445198124
