stripe_id,k_on_mean,k_off_mean,k_on_ste,k_off_ste,r_off_mean,r_on_mean,r_off_ste,r_on_ste,observed_production,predicted_production,predicted_less_r,predicted_less_k_on,predicted_less_k_off,predicted_only_k_on
0.666666667,0.727273501,2.03181384,0.727273501,2.03181384,1111.27513,155534.842,485.001218,1048.1503,40811.0163,40997.7486,38876.8153,40301.7186,35082.6135,33267.6874
1,1.64500136,2.17214057,1.64500136,2.17214057,8314.55521,174688.669,4376.90254,9847.96639,81795.7989,75282.267,63560.3557,45264.8004,69377.6333,58575.1098
1.33333333,0.852604039,2.45915515,0.852604039,2.45915515,2217.92129,162976.438,612.809846,9522.10543,42707.8785,41957.8724,37970.5599,42229.9625,41483.6684,37541.4202
1.66666667,0.613207157,2.33846393,0.613207157,2.33846393,758.623156,151739.078,404.206443,10012.9709,27094.9599,31523.6642,30640.625,39318.1716,29916.6964,29078.6715
2,1.13669774,2.54946905,1.13669774,2.54946905,2120.97463,137364.938,795.942407,8751.69727,48990.0702,42359.0205,45480.8298,35593.5881,42970.5225,46137.3987
2.33333333,0.827253733,3.08852889,0.827253733,3.08852889,1399.12547,118797.939,940.429749,16916.226,23916.9101,25097.4193,31158.6424,30782.5633,29563.23,36702.9813
2.66666667,0.407256473,2.30808337,0.407256473,2.30808337,835.359203,155791.12,311.326266,14433.0175,20128.0417,23366.1147,22120.8683,40368.1247,21846.0994,20681.8589
3,1.0422173,2.26926445,1.0422173,2.26926445,2196.05491,158337.79,617.631425,9283.68228,56272.5836,49833.3967,46418.8394,41028.01,46626.6411,43431.8089
3.33333333,0.696184515,1.64569605,0.696184515,1.64569605,1180.34291,151194.912,276.043501,4693.3346,42308.3454,44946.5947,43844.7889,39177.1691,32963.6931,32155.6321
3.66666667,0.660355445,2.57171416,0.660355445,2.57171416,646.775455,155210.042,193.816005,15444.4673,28487.5501,31711.5065,30133.9057,40217.5573,32461.787,30846.8609
4,1.25154636,2.73768621,1.25154636,2.73768621,1533.85532,159684.347,536.850035,11198.7235,54773.7353,50097.9472,46271.7527,41376.9258,53314.4566,49242.6036
4.33333333,1.02697438,3.50368062,1.02697438,3.50368062,1616.93346,155666.374,1041.38439,21042.5733,33408.7441,35285.2685,33431.5862,40335.8008,45364.9225,42981.7139
4.66666667,0.449084231,2.09460038,0.449084231,2.09460038,340.593667,130950.442,180.354028,8911.69661,22063.4251,23119.1313,26038.9165,33931.4831,19961.2538,22482.221
5,0.778487239,2.57103065,0.778487239,2.57103065,830.755736,150254.58,505.207128,12375.5321,38632.0499,34921.8238,34278.9541,38933.5132,35710.9734,35053.5764
5.33333333,0.482009574,2.66318962,0.482009574,2.66318962,582.796859,131856.624,218.20439,6443.37247,21065.1979,20207.3545,22602.9891,34166.2903,21334.5722,23863.8413
5.66666667,0.557067147,2.82428413,0.557067147,2.82428413,317.068492,136292.427,161.081774,10231.8985,22502.0331,22453.7551,24298.285,35315.6821,24859.8759,26902.0637
6,1.0443678,2.75541519,1.0443678,2.75541519,958.103936,132396.437,282.224392,9538.24088,40844.4814,36389.0717,40537.1344,34306.1649,39044.264,43494.9974
6.33333333,0.833275785,2.79281925,0.833275785,2.79281925,926.597759,129234.261,322.982718,5029.98895,25860.1172,29698.0028,33892.8388,33486.7915,32335.8763,36903.3113
6.66666667,0.806623064,2.18460906,0.806623064,2.18460906,695.416477,139964.414,262.670962,3602.0818,37334.9573,37743.1507,39772.1332,36267.1564,34174.0282,36011.1432
7,1.19554052,2.32962383,1.19554052,2.32962383,3451.38399,161186.069,1923.89435,8437.84073,64304.1024,54665.3881,50019.9549,41766.0476,52187.3327,47752.4833
7.33333333,1.10002621,2.54598782,1.10002621,2.54598782,2606.16212,148138.233,517.736424,6078.73366,42062.1816,44694.2712,44498.2636,38385.1317,45302.8078,45104.1315
