stripe_id,k_on,k_off,initiation_rate_off,initiation_rate_on
0,0.606722803,0.607210522,433.301865,108272.003
0.7,0.69376001,0.596359905,397.081625,110236.523
1,1.12879921,0.461978201,2115.64164,127651.273
1.3,0.758165481,0.904250373,637.571711,129111.96
1.7,0.35878179,0.651591335,24.308792,92215.9231
2,0.897461294,0.760483349,680.560958,100200.824
2.3,0.559767309,0.924456268,213.00968,87924.6572
2.7,0.196109213,0.675372648,-26.8423146,61009.3849
3,0.757219181,0.548694549,806.049996,113383.038
3.3,0.347035627,0.736933658,323.742963,94606.4023
3.7,0.345021986,0.599062387,-58.0744033,65001.3348
4,0.946931988,0.602562216,996.549555,109083.992
4.3,0.429381882,0.710028027,37.0711456,84006.2582
4.7,0.0714048439,0.535958962,-33.9133563,69861.7134
5,0.487720621,0.610473681,93.0122811,95758.2566
5.3,0.291058625,0.634098689,117.664141,87987.4408
5.7,0.204075744,0.558311116,19.1532925,81709.3654
6,0.673172388,0.631569352,352.445881,96861.9153
6.3,0.524466203,0.696690308,125.94993,74086.7459
6.7,0.361421924,0.517108019,75.9820179,98619.3672
7,0.992898369,0.389137057,1172.23627,108571.621
7.3,0.816079306,0.748358899,790.79677,106723.713
