SetID,ParticleID,StripeID,StripeSubID,Seconds,Fluo,Fluo_Fit_Viterbi,Promoter_State_Viterbi,Stripe_Center,AP,x,y
10,101,1,0,247.5,0,227.89,1,34.397,35.423,32,10
10,101,1,0,267.5,27327,15666,2,34.397,35.423,32,10
10,101,1,0,287.5,54655,55721,2,34.397,35.423,32,10
10,101,1,0,307.5,75437,83490,1,34.397,35.448,32.98,13.92
10,101,1,0,327.5,1.1646e+05,86681,1,34.397,35.409,32.048,16.144
10,101,1,0,347.5,1.0085e+05,1.0216e+05,2,34.397,35.44,33,17.075
10,101,1,0,367.5,85759,1.2738e+05,1,34.397,35.472,33.962,17.962
10,101,1,0,387.5,1.2645e+05,1.2993e+05,1,34.397,35.604,37.779,19
10,101,1,0,407.5,91183,1.028e+05,2,34.397,35.703,40.701,20.701
10,101,1,0,427.5,84697,85424,1,34.397,35.713,41,20.628
10,101,1,0,447.5,98559,87970,1,34.397,35.644,39,20.316
10,101,1,0,467.5,89139,1.028e+05,2,34.397,35.642,39,21.114
10,101,1,0,487.5,79720,1.0026e+05,2,34.397,35.64,39,21.913
10,101,1,0,507.5,1.5231e+05,1.4221e+05,2,34.397,35.715,41,20.008
10,101,1,0,527.5,1.6897e+05,1.8417e+05,2,34.397,35.727,41.425,21
10,101,1,0,547.5,1.7183e+05,1.8417e+05,2,34.397,35.72,41.325,22.349
10,101,1,0,567.5,2.2724e+05,2.2613e+05,2,34.397,35.687,40.363,22.088
10,101,1,0,587.5,2.4353e+05,2.6808e+05,2,34.397,35.702,40.606,19.788
10,101,1,0,607.5,2.3595e+05,2.6808e+05,2,34.397,35.677,40,21
10,101,1,0,627.5,3.0567e+05,2.6808e+05,2,34.397,35.731,41.541,21.081
10,101,1,0,647.5,3.0251e+05,2.6808e+05,2,34.397,35.735,41.491,19.019
10,101,1,0,667.5,2.9823e+05,2.6808e+05,2,34.397,35.776,42.763,20.237
10,101,1,0,687.5,2.6417e+05,2.5325e+05,1,34.397,35.763,42.441,21
10,101,1,0,707.5,1.7939e+05,2.1384e+05,1,34.397,35.811,43.79,21
10,101,1,0,727.5,1.4289e+05,1.7188e+05,1,34.397,35.816,43.879,20.121
10,101,1,0,747.5,1.6264e+05,1.4476e+05,2,34.397,35.847,44.604,18
10,101,1,0,767.5,1.3518e+05,1.4221e+05,2,34.397,35.919,46.632,18
